id,"frame","x [nm]","y [nm]","z [nm]"
1,1,4199.377508,1042.714761,0
2,1,6115.436239,6460.297170,0
3,2,4319.373803,1175.187618,0
4,2,5556.844087,6723.220247,0
5,2,6200.142567,4248.347622,0
6,2,7195.461680,5554.419046,0
7,3,313.484199,5301.386768,0
8,3,3514.836532,9564.618101,0
9,3,4129.225664,1223.035197,0
10,3,5600.310824,6650.764974,0
11,3,7221.045639,5530.755211,0
12,4,3502.973239,9413.827737,0
13,4,3986.342767,1183.467851,0
14,4,5805.566445,6597.934120,0
15,4,7219.314941,5536.006021,0
16,4,8678.793080,7029.637822,0
17,5,3397.184696,9309.244965,0
18,5,4168.101165,1168.859579,0
19,5,5687.415391,7723.916964,0
20,5,5779.235395,6979.313994,0
21,5,7301.920639,5566.239445,0
22,5,8911.281658,7177.197965,0
23,6,3508.794555,9689.852651,0
24,6,4078.452329,1009.160441,0
25,6,5522.227778,7569.943392,0
26,6,5661.821508,6991.519729,0
27,6,6984.737764,6429.259529,0
28,6,7096.588685,5797.312132,0
29,6,8475.862552,1145.285511,0
30,6,8923.682207,7014.358700,0
31,6,10137.008813,2644.544783,0
32,7,3568.788533,9854.112464,0
33,7,3862.250440,1085.064956,0
34,7,5679.808084,6904.989187,0
35,7,6561.409310,9709.164697,0
36,7,7161.624933,5393.135795,0
37,7,8470.271376,1041.266928,0
38,7,8882.418538,6915.892354,0
39,7,9114.405763,1654.253185,0
40,7,10004.946985,2953.955824,0
41,8,3402.106945,9781.987460,0
42,8,3910.121580,1040.604317,0
43,8,6234.663542,9494.428193,0
44,8,7270.703065,5282.244239,0
45,8,8356.085291,1116.670652,0
46,8,8944.911886,2199.753305,0
47,8,8951.926784,6777.840083,0
48,8,9764.901092,2972.369396,0
49,9,394.614031,5355.589404,0
50,9,1258.745596,983.311467,0
51,9,3463.842388,9739.277359,0
52,9,3881.693446,1103.004289,0
53,9,5876.106430,9302.357116,0
54,9,7445.081633,5149.022426,0
55,9,7858.140504,1977.105386,0
56,9,8061.288569,987.917411,0
57,9,8338.906726,1302.919287,0
58,9,8965.314835,6811.566866,0
59,9,9864.250987,2806.285812,0
60,10,1096.169222,583.597099,0
61,10,3470.958754,9630.775706,0
62,10,3804.830471,1156.326160,0
63,10,6110.143169,8215.601090,0
64,10,6304.607554,9585.461918,0
65,10,7225.757007,8257.596270,0
66,10,7440.998102,7665.426285,0
67,10,7507.718502,1957.033269,0
68,10,7705.577462,7184.741186,0
69,10,7827.404246,1541.567540,0
70,10,10312.486327,2496.471206,0
71,11,701.830778,6198.590221,0
72,11,969.511723,589.307207,0
73,11,3912.720025,1232.251784,0
74,11,5987.372819,7849.115096,0
75,11,5988.259941,9436.736537,0
76,11,7365.269177,7603.151293,0
77,11,7571.838188,1463.526197,0
78,11,7685.171636,6979.038930,0
79,11,7753.768916,4536.314686,0
80,11,7937.729355,2227.881803,0
81,11,8088.984777,7904.657309,0
82,11,9179.247034,8919.067725,0
83,11,10611.151609,2554.357519,0
84,12,438.787303,6155.967825,0
85,12,1215.015384,418.083240,0
86,12,2339.087918,8318.247238,0
87,12,2388.246727,3215.064113,0
88,12,3632.422118,1359.108497,0
89,12,4737.126532,5007.185044,0
90,12,5397.069963,9393.786696,0
91,12,5974.841049,7478.623841,0
92,12,7179.777320,7887.569863,0
93,12,7186.906851,2132.665142,0
94,12,7525.433136,7118.429089,0
95,12,7710.100699,1364.799724,0
96,12,8196.690755,8121.915093,0
97,12,9139.641689,8896.886209,0
98,12,10723.572596,2903.839885,0
99,13,49.668916,5993.439542,0
100,13,1056.223915,331.999660,0
101,13,1380.774228,2417.456366,0
102,13,2785.599723,2567.533392,0
103,13,2971.494919,10226.619280,0
104,13,4032.857485,1189.123345,0
105,13,5872.791479,9696.990363,0
106,13,6249.297296,7125.882230,0
107,13,7444.400476,6931.586888,0
108,13,7463.190617,2181.023244,0
109,13,8171.371759,7841.073434,0
110,13,9296.477243,8780.173522,0
111,13,11240.323894,3268.687245,0
112,14,155.408839,5609.788302,0
113,14,317.457002,2565.923646,0
114,14,1172.619663,2253.758165,0
115,14,1187.916087,430.171198,0
116,14,3112.038985,2168.205062,0
117,14,3469.016895,10743.773012,0
118,14,3966.387390,1010.068503,0
119,14,5560.060010,9744.406435,0
120,14,6364.290747,6787.290525,0
121,14,7441.569102,1946.012463,0
122,14,7496.671804,7068.505038,0
123,14,8218.993447,7922.853877,0
124,14,9197.926541,8592.310944,0
125,15,-124.679364,5115.825510,0
126,15,186.062244,2581.798114,0
127,15,1122.369717,547.729237,0
128,15,1175.544005,2660.797108,0
129,15,2180.259989,5557.670242,0
130,15,3406.296659,1890.918079,0
131,15,3712.059620,10419.107717,0
132,15,4178.214347,971.209916,0
133,15,5781.467765,9932.659387,0
134,15,7356.990725,7349.445473,0
135,15,7456.799886,4780.860250,0
136,15,7662.140722,1723.568062,0
137,15,8254.435460,8120.378591,0
138,15,9084.221123,8318.118836,0
139,16,236.241299,2600.867699,0
140,16,790.631918,379.900487,0
141,16,1088.572496,2666.299100,0
142,16,1738.152116,1633.942261,0
143,16,2401.473891,5412.931002,0
144,16,3701.766444,1835.748233,0
145,16,3756.263457,10316.689881,0
146,16,7212.898874,7450.185166,0
147,16,7365.716900,4513.814384,0
148,16,7519.515034,1865.919554,0
149,16,8313.943633,8051.090175,0
150,16,8322.941979,5790.761170,0
151,17,-217.753998,2444.945603,0
152,17,821.061169,335.896482,0
153,17,1190.700998,2777.216876,0
154,17,1534.216298,2005.928043,0
155,17,2174.505700,5463.717939,0
156,17,2675.078566,8529.059982,0
157,17,3600.494499,10130.992679,0
158,17,3662.972980,9303.081701,0
159,17,3907.992937,1904.331417,0
160,17,5335.549743,5685.568331,0
161,17,5573.688450,2060.080228,0
162,17,6864.370974,4450.048738,0
163,17,7348.840114,1868.573495,0
164,17,7528.560657,7426.842531,0
165,17,7933.543345,5841.700679,0
166,17,8103.377155,2735.217789,0
167,17,8411.981330,8011.889307,0
168,17,8761.646677,4267.235058,0
169,18,-179.618160,2288.766002,0
170,18,1517.795734,1923.791917,0
171,18,1528.294572,1113.042555,0
172,18,3133.672467,1899.327833,0
173,18,3436.885921,8288.253330,0
174,18,3452.879257,9268.898552,0
175,18,3840.335134,10090.867598,0
176,18,4058.365598,8794.273497,0
177,18,5342.305774,5762.095460,0
178,18,5590.765007,2196.392989,0
179,18,6461.646301,9731.035607,0
180,18,6826.657929,4867.729928,0
181,18,7230.550659,1688.219524,0
182,18,7955.614609,5625.649272,0
183,18,8483.938435,7849.118776,0
184,18,8538.251427,2161.280689,0
185,18,10138.085757,7945.403319,0
186,19,-76.309120,1896.286658,0
187,19,1344.455932,1517.254339,0
188,19,1483.642720,1535.426216,0
189,19,3338.250126,7562.035663,0
190,19,3356.269723,2129.675828,0
191,19,3487.534158,9039.294690,0
192,19,3868.833113,9943.230146,0
193,19,4238.640151,8863.864057,0
194,19,5382.525184,6025.881365,0
195,19,5532.202232,2113.672684,0
196,19,6222.275769,9684.508265,0
197,19,7273.498219,1421.137837,0
198,19,8430.989487,7693.007538,0
199,19,8820.551750,2606.737985,0
200,19,10266.164492,7755.325428,0
201,20,-9.722268,1949.407492,0
202,20,1863.648949,1288.962594,0
203,20,1901.856566,1847.292038,0
204,20,3528.502112,9099.392086,0
205,20,3606.631697,7753.670179,0
206,20,3886.337758,10164.823625,0
207,20,5160.059740,6063.129970,0
208,20,7319.442199,1143.905039,0
209,20,8263.827514,7726.680375,0
210,20,8661.642688,3162.062613,0
211,20,8670.087096,7659.491338,0
212,20,8753.432019,9740.847419,0
213,20,8991.084169,3096.205713,0
214,20,10355.832904,7695.245328,0
215,21,-193.059855,1907.739694,0
216,21,899.584519,372.594009,0
217,21,1532.629409,1902.414505,0
218,21,1611.367534,942.249495,0
219,21,3511.221197,9009.377421,0
220,21,3770.676218,10225.379824,0
221,21,4184.415650,7795.075054,0
222,21,4646.735575,6372.797097,0
223,21,8323.347199,7780.982262,0
224,21,8590.391027,7933.169558,0
225,21,8696.736283,3223.781968,0
226,21,8738.609161,9788.864485,0
227,21,9152.234165,8553.879314,0
228,21,9500.469080,2978.208133,0
229,21,10377.149783,7679.973542,0
230,22,-327.998965,2140.045859,0
231,22,458.345072,9963.567507,0
232,22,1208.787345,77.499270,0
233,22,1591.546868,1854.138000,0
234,22,1645.874528,1062.553716,0
235,22,2320.578716,195.436099,0
236,22,2663.635934,5800.574911,0
237,22,3577.692702,8871.962423,0
238,22,3962.092121,7418.988369,0
239,22,4258.740405,9668.619859,0
240,22,4382.639232,5981.289378,0
241,22,8519.145305,8985.297673,0
242,22,8560.405856,3193.138650,0
243,22,8633.680690,7919.365831,0
244,22,8646.630927,10062.507013,0
245,22,9250.975927,8752.974141,0
246,22,9285.507970,3429.446033,0
247,22,9397.912286,7500.113636,0
248,23,-427.153485,2315.001949,0
249,23,571.254789,9853.048874,0
250,23,1006.075948,6.730720,0
251,23,1378.961529,1932.182125,0
252,23,2581.359032,474.002752,0
253,23,2745.927812,374.561592,0
254,23,2755.088438,5184.164875,0
255,23,3293.546096,8913.868764,0
256,23,4193.787497,7113.911167,0
257,23,4233.552589,10020.486195,0
258,23,8434.193908,8021.982908,0
259,23,8657.193081,10055.939512,0
260,23,8678.609924,3347.725771,0
261,23,9224.606952,4051.058887,0
262,23,9432.184969,8794.775995,0
263,24,-531.103599,2103.416424,0
264,24,169.771684,6849.170976,0
265,24,1620.642634,9171.162187,0
266,24,1643.476391,2131.085934,0
267,24,2497.959866,5642.654183,0
268,24,2860.209646,352.833499,0
269,24,2869.714627,555.239285,0
270,24,3196.332081,8914.139762,0
271,24,4226.630494,3978.790905,0
272,24,4393.689134,6514.388558,0
273,24,4420.950738,10023.040821,0
274,24,6974.008324,10371.272906,0
275,24,8769.967427,10259.342413,0
276,24,8909.768721,3102.892496,0
277,24,8913.356137,6226.453064,0
278,24,9200.862145,4367.118593,0
279,25,-892.241308,2095.201677,0
280,25,650.966799,2099.878174,0
281,25,959.460963,5141.269270,0
282,25,1872.405895,9019.017201,0
283,25,1955.877324,7323.105524,0
284,25,2872.324567,5531.880552,0
285,25,2873.416617,-24.237323,0
286,25,3144.302239,3927.190351,0
287,25,3266.722826,395.258852,0
288,25,3295.588772,8679.620203,0
289,25,4272.192816,4108.161622,0
290,25,4394.775535,9775.435543,0
291,25,4398.487761,9862.171637,0
292,25,4968.040576,6643.428072,0
293,25,6926.172975,10475.755784,0
294,25,8846.540986,3233.593836,0
295,25,8865.489812,10373.712134,0
296,25,9782.655549,7972.293552,0
297,26,-956.437262,2635.045056,0
298,26,678.598840,1966.183974,0
299,26,954.920446,5384.755780,0
300,26,1438.897800,5267.601003,0
301,26,1556.362298,9425.602717,0
302,26,2432.988668,5353.829194,0
303,26,2921.859416,78.774564,0
304,26,3030.959665,3712.442043,0
305,26,3618.750449,8752.111585,0
306,26,4061.381501,9679.317689,0
307,26,4295.683765,6485.732669,0
308,26,4381.651588,4157.958645,0
309,26,4556.278345,9762.327030,0
310,26,6813.193166,10144.563752,0
311,26,8082.917058,9181.781353,0
312,26,8899.628080,3368.044976,0
313,26,8912.769858,10480.809742,0
314,26,9971.046325,7831.941162,0
315,27,-583.433565,3044.153074,0
316,27,529.812784,1721.642853,0
317,27,1363.997558,5410.097203,0
318,27,1444.657965,8996.124768,0
319,27,2300.933458,5693.839007,0
320,27,2973.125623,-23.484538,0
321,27,3066.467975,9308.747257,0
322,27,3107.182033,3604.559946,0
323,27,3227.153923,4045.091778,0
324,27,3631.794552,8919.593670,0
325,27,3826.102356,9342.157526,0
326,27,4106.858710,6260.291872,0
327,27,4390.689119,4197.694990,0
328,27,4535.916882,9650.013296,0
329,27,7078.812469,10092.724410,0
330,27,7220.319705,7755.306562,0
331,27,8971.520642,10417.131288,0
332,27,9231.741340,3405.124358,0
333,27,9960.872990,7860.371854,0
334,28,-855.680608,3083.172193,0
335,28,1285.835520,5250.545880,0
336,28,2047.523032,6344.784433,0
337,28,2800.843227,3715.443689,0
338,28,2891.294210,-37.821920,0
339,28,3446.323459,8892.846480,0
340,28,3709.728960,3967.870642,0
341,28,4257.159048,4029.998977,0
342,28,4328.030516,6586.069473,0
343,28,4581.227569,9744.170180,0
344,28,7072.909754,7955.152313,0
345,28,7407.254122,9603.862236,0
346,28,8430.995524,5960.025297,0
347,28,9102.604556,10351.712686,0
348,28,9704.260548,7780.918899,0
349,29,1296.380450,5219.669087,0
350,29,1688.014778,6300.783731,0
351,29,2820.126910,-68.963206,0
352,29,2986.313570,3600.111263,0
353,29,3556.907429,4111.755167,0
354,29,3606.818831,8816.513393,0
355,29,4423.228603,4040.153137,0
356,29,4613.190608,10004.045666,0
357,29,4911.599854,9193.210130,0
358,29,7329.625695,7670.387544,0
359,29,7516.550096,8922.616760,0
360,29,7528.915062,1277.179208,0
361,29,7649.133286,10199.871384,0
362,29,8578.430590,6123.796662,0
363,29,9094.813942,10182.035710,0
364,29,9513.778327,7667.649267,0
365,30,1317.921610,5265.097852,0
366,30,2159.324515,5974.727776,0
367,30,2851.719936,-15.484736,0
368,30,3582.777245,4149.274684,0
369,30,3658.116942,8994.911774,0
370,30,3663.860922,3760.841399,0
371,30,4187.176141,4163.136319,0
372,30,4830.785910,9956.224946,0
373,30,4850.790576,9180.460823,0
374,30,7464.677609,8920.312760,0
375,30,7581.538917,7918.540392,0
376,30,7673.842401,9671.209189,0
377,30,8471.854467,6252.596212,0
378,30,8971.127175,10075.396033,0
379,30,9633.936890,7632.488861,0
380,31,1623.116264,5264.270434,0
381,31,1667.805356,6551.928497,0
382,31,2808.260375,-32.376059,0
383,31,3601.952269,8910.244357,0
384,31,3710.681067,3637.475510,0
385,31,3737.032291,4779.268248,0
386,31,3900.896533,4230.495138,0
387,31,4759.065003,8932.263471,0
388,31,4947.951522,9688.900008,0
389,31,5225.473881,4353.242170,0
390,31,5295.387650,7726.520793,0
391,31,7477.432440,9990.375515,0
392,31,7498.907037,7786.216885,0
393,31,7667.992015,8992.616013,0
394,31,9039.646846,10182.725155,0
395,31,9656.592351,7586.707193,0
396,32,1196.877971,5255.383330,0
397,32,1754.951289,6325.670448,0
398,32,2676.493555,4879.182827,0
399,32,3647.788685,8842.093243,0
400,32,3900.359125,4172.656876,0
401,32,4524.735879,9030.074135,0
402,32,5176.199383,7739.654304,0
403,32,6837.071939,8891.473469,0
404,32,7390.116189,7538.794788,0
405,32,7627.826617,8786.378078,0
406,32,7797.162690,9903.958977,0
407,32,7806.668830,9302.758924,0
408,32,8182.185980,7905.845408,0
409,32,8901.224823,9961.606760,0
410,32,9523.211037,7573.549507,0
411,33,1045.892603,4930.162302,0
412,33,1710.791046,6989.306516,0
413,33,3701.832910,4266.531577,0
414,33,3824.269692,8813.000910,0
415,33,4454.839357,787.406272,0
416,33,4604.985545,9129.446420,0
417,33,5295.643896,7759.899939,0
418,33,6588.035394,9163.957440,0
419,33,7533.938415,9658.614521,0
420,33,7547.796468,7609.128827,0
421,33,7603.595890,9370.885393,0
422,33,7669.364888,8734.350437,0
423,33,8320.787009,7774.357996,0
424,33,8870.782987,9997.265256,0
425,33,9602.410059,7661.144445,0
426,34,286.041808,970.865704,0
427,34,1052.798730,5068.318784,0
428,34,1735.957839,7042.574012,0
429,34,1876.985690,5678.673094,0
430,34,3541.491373,4382.234709,0
431,34,3859.327318,8619.070988,0
432,34,4340.807054,739.848872,0
433,34,4628.131892,9049.102648,0
434,34,5123.497124,7713.520955,0
435,34,7556.494765,7621.814544,0
436,34,7762.293175,9512.134160,0
437,34,7762.630306,8594.896556,0
438,34,7973.690489,9767.721152,0
439,34,8213.622853,7963.670402,0
440,34,8730.336665,10023.039971,0
441,34,9756.322154,7553.250575,0
442,35,925.259674,5027.448865,0
443,35,1397.942768,7371.131787,0
444,35,3559.416359,4351.317384,0
445,35,4375.756649,9119.906118,0
446,35,4564.711123,9080.033979,0
447,35,5157.802747,7677.735983,0
448,35,7680.176507,7725.945632,0
449,35,7732.170556,9526.989066,0
450,35,8006.098105,10008.844603,0
451,35,8207.108106,7968.408407,0
452,35,9687.269413,7574.136495,0
453,36,705.832147,7401.684471,0
454,36,985.616905,4901.858084,0
455,36,2042.377433,2257.876139,0
456,36,3389.904088,4248.426558,0
457,36,4686.604023,9142.078794,0
458,36,4960.766013,9419.031962,0
459,36,5122.898091,7777.561685,0
460,36,7637.713539,7621.396587,0
461,36,8001.237794,9374.658638,0
462,36,8198.802763,8205.727538,0
463,36,8444.995435,9735.440261,0
464,37,263.662242,7448.305437,0
465,37,551.013537,7302.267858,0
466,37,1200.636354,5000.723859,0
467,37,3598.490252,4416.326067,0
468,37,4551.017396,9114.941222,0
469,37,5370.440305,7746.343417,0
470,37,5580.605191,10301.009777,0
471,37,6547.850218,2812.214621,0
472,37,7707.262516,9107.504735,0
473,37,8078.609278,7945.436868,0
474,37,8638.866849,105.351801,0
475,37,9469.467280,3488.290083,0
476,38,601.376045,7206.943363,0
477,38,994.140392,4725.945546,0
478,38,1061.489753,4899.419550,0
479,38,1433.422886,3558.598385,0
480,38,3674.358750,4288.169630,0
481,38,5237.680628,10615.007385,0
482,38,5359.649861,7683.677443,0
483,38,6170.519119,945.573889,0
484,38,6307.074576,2565.529464,0
485,38,7761.585887,9099.243710,0
486,38,7944.145503,8084.926538,0
487,38,8449.686500,144.158925,0
488,38,9571.134344,3481.253485,0
489,39,465.981934,7671.088838,0
490,39,787.925008,4642.252915,0
491,39,1002.136328,4814.447049,0
492,39,1594.382301,3357.696632,0
493,39,1623.527104,4545.005668,0
494,39,3695.002579,4182.976727,0
495,39,5240.722488,10788.864825,0
496,39,5614.520739,2395.666934,0
497,39,7424.862587,8702.873816,0
498,39,8038.484862,8139.126826,0
499,39,8113.192587,-281.348856,0
500,39,9255.572626,3332.873507,0
501,40,857.631542,4812.940732,0
502,40,919.479706,7517.197558,0
503,40,930.346330,-430.782293,0
