id,"frame","x [nm]","y [nm]","z [nm]"
1,1,8598.603097,2894.695715,0
2,1,3259.622787,2881.964962,0
3,1,4404.557554,8944.986550,0
4,1,4038.140383,7392.306441,0
5,1,1500.759001,6184.732493,0
6,1,9607.403440,5442.995266,0
7,1,9169.318976,8827.461155,0
8,1,1642.553656,4263.531037,0
9,1,2764.304182,3931.945990,0
10,1,2511.745658,5875.766481,0
11,1,5074.528168,7432.263572,0
12,1,1002.996584,6335.674674,0
13,1,5530.689007,1717.886311,0
14,1,9957.431930,5457.312772,0
15,1,4048.529333,4862.277670,0
16,1,5441.591666,8929.047119,0
17,1,5394.272503,7837.309162,0
18,1,2665.849311,5090.181626,0
19,1,9117.506092,930.975157,0
20,1,7490.791931,950.975161,0
21,1,1649.198713,5747.352333,0
22,1,6024.315411,5488.367093,0
23,1,878.204663,2786.304086,0
24,1,-79.668797,4960.647344,0
25,1,1366.120033,3315.597184,0
26,1,1139.549099,5850.664441,0
27,1,2775.852155,1415.927273,0
28,1,9100.605492,6046.805756,0
29,1,8276.148349,4751.404710,0
30,1,2230.555444,3422.567380,0
31,1,8942.048873,6428.509998,0
32,1,6279.645113,5918.145302,0
33,1,8982.093100,1237.742202,0
34,1,4907.319700,7510.564671,0
35,1,8812.492229,8117.642700,0
36,1,2999.441852,2815.309779,0
37,1,2489.500160,9416.054724,0
38,1,8647.545213,1432.632749,0
39,1,8012.016750,9150.814113,0
40,1,2612.530116,6526.940205,0
41,1,6262.379514,6958.251166,0
42,1,7487.615109,7220.122025,0
43,1,6709.058751,1775.194799,0
44,1,1001.582205,6544.794776,0
45,1,4205.681721,2028.859311,0
46,1,7038.765368,6831.278892,0
47,1,1868.903680,7293.466492,0
48,1,5874.202789,4769.791093,0
49,1,7555.303165,3007.286565,0
50,1,242.106148,7665.836308,0
51,1,4016.512236,6090.725324,0
52,1,6899.752722,2297.550983,0
53,1,3146.916308,9434.273096,0
54,1,6356.031238,2415.020185,0
55,1,2810.157880,1721.544514,0
