id,"frame","x [nm]","y [nm]","z [nm]"
1,1,8128.470008,8286.769978,0
2,1,2696.194914,5124.319430,0
3,1,7024.716667,8017.742187,0
4,1,5182.331145,5192.741762,0
5,1,1480.086717,5529.066060,0
6,1,5457.535810,2674.221870,0
7,1,9291.799224,3719.280777,0
8,2,2948.398763,5154.736647,0
9,2,1244.315663,2973.415556,0
10,2,1849.328488,5679.457801,0
11,2,5104.924505,5153.740651,0
12,2,1335.402729,5625.812582,0
13,2,5226.860477,2733.343121,0
14,3,5249.824801,5238.350570,0
15,3,1286.445230,3132.239839,0
16,3,1779.996151,5723.070204,0
17,3,7724.140146,3489.539247,0
18,3,8514.841982,8362.464712,0
19,3,4873.984861,5320.581350,0
20,3,5313.044282,2855.191192,0
21,4,5511.939622,5416.130783,0
22,4,1353.870952,3064.944807,0
23,4,1998.804087,5626.990923,0
24,4,4435.134959,1149.890987,0
25,4,7846.126168,3816.277893,0
26,4,4961.892557,5409.120158,0
27,4,5055.115306,2969.382863,0
28,4,1474.281471,1239.636046,0
29,5,3382.228566,2779.878596,0
30,5,5325.914716,5350.095158,0
31,5,2843.796842,9912.682775,0
32,5,422.092661,1080.325226,0
33,5,1434.764012,3325.719148,0
34,5,2032.941323,5549.948836,0
35,5,4552.801707,1200.674558,0
36,5,7894.553845,3724.403918,0
37,5,7853.928022,4789.681720,0
38,5,4958.802032,5484.825222,0
39,5,1626.841602,1150.206341,0
40,6,3562.898726,2703.956444,0
41,6,3119.959296,9863.643386,0
42,6,705.364409,1023.052571,0
43,6,1381.976362,3091.782510,0
44,6,2260.255407,5388.009126,0
45,6,7770.092017,3956.755217,0
46,6,7947.714838,4756.633451,0
47,6,6190.152827,5307.609344,0
48,6,4850.821434,5452.828714,0
49,6,7839.953133,5247.157206,0
50,6,1842.996794,870.510950,0
51,7,3691.372495,2454.924521,0
52,7,3089.474136,9865.903294,0
53,7,874.558683,922.722437,0
54,7,1492.533393,3091.020207,0
55,7,2212.014436,5373.398500,0
56,7,7694.214093,3912.270929,0
57,7,8138.174623,4726.770334,0
58,7,6360.155197,5398.072713,0
59,7,5020.736005,5266.392630,0
60,7,7825.906138,5107.183693,0
61,8,3084.212677,9654.568266,0
62,8,4947.544021,7526.191239,0
63,8,5616.466043,649.320886,0
64,8,941.499767,1030.663469,0
65,8,1464.199424,3167.694378,0
66,8,2199.838596,5241.729100,0
67,8,7736.620266,3715.213265,0
68,8,8249.743538,4938.459867,0
69,8,6179.838047,5360.210539,0
70,8,4972.268057,5418.826136,0
71,9,3345.316415,9572.081325,0
72,9,5139.659022,7414.911905,0
73,9,5780.554012,682.572720,0
74,9,638.652000,919.335966,0
