id,"frame","x [nm]","y [nm]","z [nm]"
1,1,1.418648,7184.584507,0
2,1,90.764867,8244.928838,0
3,1,1472.576104,8216.484816,0
4,1,1714.320209,3079.589886,0
5,1,2926.791806,6388.061501,0
6,1,2971.831562,9446.643237,0
7,1,3911.890424,-100.418119,0
8,1,4668.204134,5883.317781,0
9,1,5068.940876,9151.372193,0
10,1,8591.638763,3586.124264,0
11,1,8799.051785,707.357710,0
12,1,8962.545958,-243.588688,0
13,1,11151.946126,3312.911594,0
14,1,11246.197237,2923.060480,0
15,2,-443.199735,724.557187,0
16,2,-0.840153,9257.102879,0
17,2,94.350835,5200.212952,0
18,2,145.696035,8042.487561,0
19,2,175.137580,5711.237078,0
20,2,605.833263,-49.650613,0
21,2,1013.450885,4691.071169,0
22,2,1527.427091,7266.517920,0
23,2,1923.027765,8300.489864,0
24,2,2976.092805,9411.155187,0
25,2,5081.383303,9107.901353,0
26,2,5450.983148,6465.051658,0
27,2,6155.179667,8806.689050,0
28,2,7665.880466,4149.257887,0
29,2,8834.107957,5449.333545,0
30,2,9223.377963,2995.628116,0
31,2,9643.059653,2041.599460,0
32,2,10309.711176,6258.752219,0
33,3,-1049.930156,164.488452,0
34,3,264.064610,7639.610121,0
35,3,325.302116,5615.093997,0
36,3,607.160864,2365.148492,0
37,3,2509.899515,8910.648312,0
38,3,2611.565878,662.802088,0
39,3,2929.578081,2933.731773,0
40,3,4261.594984,10846.875927,0
41,3,4428.897285,5497.986176,0
42,3,4545.028464,6062.604331,0
43,3,5566.820540,6612.302358,0
44,3,6515.946081,8508.713652,0
45,3,9111.756611,5214.427849,0
46,3,9198.246042,3029.218319,0
47,4,321.558615,5926.965023,0
48,4,386.712395,7570.884490,0
49,4,897.757640,8773.291118,0
50,4,2181.713029,1735.380635,0
51,4,2813.141319,5931.434867,0
52,4,3377.098233,-840.598888,0
53,4,4026.580117,383.133065,0
54,4,4530.420582,5371.665920,0
55,4,4724.814440,10118.614360,0
56,4,5025.614212,10085.883576,0
57,4,5340.041998,5731.191061,0
58,4,5539.844865,7126.529473,0
59,4,6869.075467,8357.618178,0
60,4,7663.959158,666.043511,0
61,4,9037.063811,3167.888521,0
62,4,9459.947805,2268.413851,0
63,4,9926.271346,395.607118,0
64,4,10030.527074,10995.000837,0
65,4,10356.329133,4302.096873,0
66,5,-115.512979,9178.485792,0
67,5,439.161828,5802.290500,0
68,5,1673.909226,8253.157492,0
69,5,2391.204668,9456.781869,0
70,5,3334.986671,6891.735974,0
71,5,3365.656694,3683.578759,0
72,5,4449.378228,8451.882777,0
73,5,4607.508011,5534.721232,0
74,5,4904.819563,619.752353,0
75,5,5175.693758,9283.412549,0
76,5,5462.013819,3976.381438,0
77,5,5540.121236,7248.603419,0
78,5,5838.004375,2651.842443,0
79,5,6993.232946,8821.356190,0
80,5,7000.076908,175.743747,0
81,5,7469.638299,792.657393,0
82,5,7771.828317,9633.203261,0
83,5,9039.698776,3108.217576,0
84,5,9917.241905,4764.110355,0
85,5,10014.333942,2154.538245,0
86,5,10140.035951,4491.863866,0
87,5,10494.863894,4758.073803,0
88,6,-513.203993,2805.782283,0
89,6,-261.196871,-296.006444,0
90,6,345.039794,6870.977162,0
91,6,400.931742,1656.493601,0
92,6,403.444982,5905.207617,0
93,6,901.760478,3834.116296,0
94,6,1367.595624,9593.196933,0
95,6,2542.072049,6661.137581,0
96,6,4464.376095,5448.228707,0
97,6,5139.169579,9324.747682,0
98,6,5211.356037,4258.808047,0
99,6,6699.658987,9358.823548,0
100,6,6980.890217,7185.691421,0
101,6,9044.864121,2905.723216,0
102,6,9108.787189,4871.702578,0
103,6,9856.437529,4885.248503,0
104,7,314.543109,5859.440525,0
105,7,1356.943350,8262.198226,0
106,7,3924.930828,6351.323804,0
107,7,4996.739756,859.456998,0
108,7,5046.409430,9428.038594,0
109,7,5487.382160,3804.931622,0
110,7,5961.728075,4273.130863,0
111,7,6534.912246,8497.367770,0
112,7,6839.808977,8561.702430,0
113,7,7179.586395,4051.608460,0
114,7,7538.445527,5664.340305,0
115,7,7958.272443,8123.534615,0
116,7,8003.311709,2670.350579,0
117,7,8388.078365,5994.037988,0
118,7,9083.446242,2837.814227,0
119,7,9785.211634,4667.569799,0
120,7,9991.493451,10691.024651,0
121,7,10374.914013,6233.435434,0
122,7,10788.206331,3967.663503,0
123,7,11099.922662,3905.286916,0
124,8,-688.675611,1073.919811,0
125,8,-94.408848,9203.972730,0
126,8,418.508043,5158.599496,0
127,8,859.595637,8322.368025,0
128,8,1264.743570,10817.410187,0
129,8,2926.156417,863.496931,0
130,8,5269.814181,4701.362508,0
131,8,5314.273829,8023.390160,0
132,8,5634.855040,7011.163348,0
133,8,6072.328925,2591.132104,0
134,8,7036.620049,8539.747567,0
135,8,8388.687602,8017.510219,0
136,8,9020.446624,2676.900345,0
137,8,9500.959351,7568.045933,0
138,8,9916.703805,7248.376766,0
139,8,10511.520644,8659.404402,0
140,8,10838.561725,6956.537432,0
141,9,-1009.278256,4906.894578,0
142,9,614.381964,2391.682668,0
143,9,1769.963969,3259.299198,0
144,9,2161.493652,2996.435885,0
145,9,2348.333015,9665.175631,0
146,9,2416.078849,7529.404632,0
147,9,3000.385407,4682.306111,0
148,9,3235.240254,4860.046118,0
149,9,4001.300488,255.672851,0
150,9,4141.405704,5733.133474,0
151,9,4542.310660,11329.679205,0
152,9,4678.539318,6106.196529,0
153,9,5585.066155,6163.767291,0
154,9,5677.194534,3729.185708,0
155,9,6031.458102,5505.188858,0
156,9,6489.969370,7130.441932,0
157,9,6725.078837,8887.642226,0
158,9,6915.282755,9849.064495,0
159,9,6937.818868,3215.315159,0
160,9,6973.433340,8380.379523,0
161,9,8064.486864,6757.741697,0
162,9,8127.539074,7686.935773,0
163,9,8441.387464,9213.242880,0
164,9,9072.993689,7740.807694,0
165,9,9170.559845,2881.040219,0
166,9,9330.549383,955.481264,0
167,9,10014.464897,6716.565858,0
168,10,-136.292344,9408.944690,0
169,10,279.033927,57.248411,0
170,10,495.132821,5171.565336,0
171,10,789.349294,8437.857985,0
172,10,1696.027873,3187.079764,0
173,10,2662.564836,6864.370000,0
174,10,3153.290646,4616.123263,0
175,10,3896.123894,7208.815406,0
176,10,4044.876361,5830.623647,0
177,10,4426.701955,6245.967502,0
178,10,5019.879969,9278.702747,0
179,10,7098.717985,3951.339305,0
180,10,7120.548407,8702.043284,0
181,10,8429.421601,10144.563795,0
182,10,9329.563628,9912.137277,0
183,11,-923.293114,1458.393212,0
184,11,610.864191,8597.936784,0
185,11,1609.343248,3049.948704,0
186,11,2279.825283,8339.261737,0
187,11,3853.237313,5237.544385,0
188,11,3958.948350,7376.339206,0
189,11,5320.651783,8304.181141,0
190,11,6545.759806,9950.041203,0
