id,"frame","x [nm]","y [nm]","z [nm]"
1,1,1848276917.894476,-223762428.380386,0
2,2,1899059691.397901,217211287.596331,0
3,5,1393205550.775451,307075446.719153,0
4,6,1274222509.794472,201720451.770417,0
5,9,2331751179.329727,154890483.300900,0
6,10,2364102899.983097,158537853.515600,0
7,13,1680573168.429923,11947395.036268,0
8,14,2017461611.920141,-15793595.330890,0
9,17,858009337.540212,106672453.185046,0
10,18,865276301.220296,169545253.606601,0
11,21,468338270.140296,-148413104.366136,0
12,22,514714902.680561,-159370932.415284,0
13,25,1850124297.551647,-407708348.454651,0
14,26,1835477671.549695,-349982803.217370,0
15,29,1425767283.661421,-446433032.595037,0
16,30,1328262485.758170,-483505034.707352,0
17,33,1513575910.801666,-76057068.694643,0
18,34,1502646932.592083,-70997382.403587,0
19,37,2491122107.482919,189817186.763785,0
20,38,2526385437.122754,206355905.431976,0
21,41,1506475100.211994,-343772122.468655,0
22,42,1533138489.388358,-339933737.378810,0
23,45,2524778377.669513,282324306.347876,0
24,46,2637893223.098495,244114156.935272,0
25,49,2713040053.115367,267124359.915775,0
26,50,2838919995.662216,89799036.910988,0
27,53,1052010189.804618,61276656.518763,0
28,54,1069368474.874529,56704201.763504,0
29,57,2140184051.042948,-40726783.611356,0
30,58,2546419441.681628,41654869.685424,0
31,61,2059511849.320570,142209509.409850,0
32,62,2081466178.154928,123836193.483360,0
33,65,1882977970.984709,442764909.589214,0
34,66,2160192529.376725,267659596.089166,0
35,69,1771578018.439161,168767656.756729,0
36,70,1841495677.782118,377591837.262016,0
37,73,1773099161.972763,47416671.405311,0
38,74,1722082868.163579,-347758.182821,0
39,77,1790070072.265701,-369309589.619444,0
40,78,1542415154.563042,-309892473.067128,0
41,81,484471384.131114,-108735147.194455,0
42,82,727525872.898097,-160335365.820824,0
43,85,210511268.997244,-209934884.227916,0
44,86,239467800.072630,-149613417.331871,0
45,89,1703976348.990082,136412757.920004,0
46,90,1648035486.736560,206054022.469815,0
47,93,1439621939.604609,35357033.691710,0
48,94,1486887685.218405,84337306.980447,0
49,97,2036900899.181164,-78792075.724793,0
50,98,2100492018.350064,-129745095.327663,0
51,101,863961093.275637,-353966689.980098,0
52,102,969121067.330832,-258768110.154323,0
53,105,1067007676.500927,110534581.704403,0
54,106,1048347335.181318,91145555.115233,0
55,109,628205380.862775,212691444.344093,0
56,110,598089252.493339,131814982.291529,0
57,113,986211858.792434,-447505083.727671,0
58,114,612870090.902641,-448441374.918479,0
59,117,2165325737.214214,-236866617.500364,0
60,118,2216814371.110640,-251336569.293303,0
61,121,409224385.839465,-431761306.561431,0
62,122,495864368.467367,-334757830.296763,0
63,125,1034193850.622116,63652908.658797,0
64,126,1176979559.421364,132519310.432391,0
65,129,530143608.129392,-135649991.525053,0
66,130,433713444.868037,-314370734.471551,0
67,133,445471003.365522,-375563833.728335,0
68,134,567147997.978188,-367453176.260820,0
69,137,1040894188.219304,-161213973.968902,0
70,138,1118307584.895339,-12537916.450822,0
71,141,2431542259.010716,-282328868.079052,0
72,142,2448474211.842979,-222238550.515018,0
73,145,2022321145.648513,394052721.030435,0
74,146,1810207143.941297,292196844.342790,0
75,149,476821723.273555,-323554358.819923,0
76,150,444727631.576117,-295220719.330823,0
77,153,2234877804.906028,304670444.264514,0
78,154,2188422788.167563,310412288.641970,0
79,157,548843730.785679,20438450.143003,0
80,158,653030723.194512,-278745109.981102,0
81,161,770187157.319430,-402164712.858686,0
82,162,394375803.386495,-208951396.375604,0
83,165,2014639242.528389,-174461926.814427,0
84,166,2107183914.620725,-220413275.258781,0
85,169,1083531346.083666,20568115.074046,0
86,170,1238506803.001364,-185733728.206991,0
